longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-114.47,34.4,19.0,7650.0,1901.0,1129.0,463.0,1.82,80100.0
-116.06,34.15,15.0,10377.0,2331.0,4507.0,1807.0,2.2466,66800.0
-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111,65600.0
-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2.7598,95000.0
-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948,382400.0
-116.29,33.74,6.0,12991.0,2555.0,4571.0,1926.0,4.7195,199300.0
-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036,158500.0
-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7.4382,353100.0
-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844,78500.0
-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,121300.0
-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005,318100.0
-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084,194500.0
-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4.0079,134500.0
-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556,258100.0
-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2.7219,74400.0
-116.39,33.72,19.0,7646.0,1618.0,2496.0,1075.0,3.5569,128000.0
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,238800.0
-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4.9444,285000.0
-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7.6281,341700.0
-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828,84000.0
-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223,115100.0
-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111,142500.0
-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497,90900.0
-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2.6298,145200.0
-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396,148900.0
-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,66600.0
-116.51,34.45,21.0,8502.0,2634.0,2330.0,991.0,1.3811,51300.0
-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3.4886,112500.0
-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212,145200.0
-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2.9647,110900.0
-116.53,33.84,28.0,8399.0,1839.0,3470.0,1340.0,2.5885,159000.0
-116.54,33.81,31.0,6814.0,1714.0,2628.0,1341.0,2.1176,124100.0
-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493,199400.0
-116.54,33.8,22.0,6050.0,1387.0,1432.0,890.0,2.2216,183900.0
-116.54,33.79,18.0,9374.0,1780.0,1678.0,919.0,3.9737,235600.0
-116.56,34.06,15.0,6928.0,1529.0,2568.0,1075.0,2.5405,69600.0
-116.57,35.43,8.0,9975.0,1743.0,6835.0,1439.0,2.7138,22500.0
-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897,230200.0
-116.62,34.23,14.0,6438.0,1719.0,1586.0,691.0,1.6136,67400.0
-116.78,33.0,7.0,12480.0,1946.0,5102.0,1697.0,5.5102,221000.0
-116.82,34.24,11.0,5799.0,1527.0,713.0,262.0,2.5147,84700.0
-116.83,34.25,15.0,8948.0,1985.0,1316.0,514.0,2.7375,90800.0
-116.85,34.25,5.0,5806.0,1030.0,569.0,219.0,4.0132,163100.0
-116.86,33.05,17.0,9044.0,1689.0,5030.0,1596.0,3.6348,164500.0
-116.86,32.87,17.0,5799.0,921.0,2630.0,843.0,5.0524,285400.0
-116.88,33.05,11.0,7217.0,1583.0,4197.0,1502.0,2.8827,166700.0
-116.89,33.86,2.0,6900.0,1238.0,1950.0,980.0,3.0417,146300.0
-116.91,33.75,13.0,10886.0,2127.0,4266.0,1955.0,2.3169,123400.0
-116.91,33.71,19.0,6807.0,1164.0,2703.0,1055.0,3.1591,189700.0
-116.93,33.93,13.0,7804.0,1594.0,3297.0,1469.0,2.0549,95600.0
-116.93,33.75,14.0,6027.0,1148.0,3136.0,1036.0,2.964,121500.0
-116.93,32.79,23.0,5759.0,1258.0,3108.0,1202.0,3.0927,140600.0
-116.94,34.4,20.0,6541.0,1401.0,2631.0,980.0,2.1339,78500.0
-116.94,34.24,27.0,12342.0,2630.0,1300.0,566.0,1.998,153500.0
-116.94,33.77,14.0,7240.0,1410.0,2708.0,1240.0,2.4145,137600.0
-116.94,32.8,21.0,7906.0,2292.0,4868.0,2117.0,1.8937,109800.0
-116.94,32.78,17.0,13559.0,2656.0,6990.0,2533.0,3.434,193200.0
-116.94,32.75,4.0,14934.0,2479.0,6945.0,2418.0,5.1221,229700.0
-116.95,33.79,8.0,10997.0,2205.0,5060.0,1949.0,2.1979,95300.0
-116.95,33.76,10.0,6890.0,1702.0,3141.0,1451.0,1.7079,95900.0
-116.95,32.83,14.0,12517.0,2506.0,6389.0,2333.0,3.3081,168700.0
-116.95,32.79,19.0,11391.0,3093.0,7178.0,2905.0,2.0326,123200.0
-116.96,32.85,11.0,9724.0,1796.0,5247.0,1777.0,4.1716,166100.0
-116.97,33.96,12.0,5876.0,1222.0,2992.0,1151.0,2.4322,112100.0
-116.97,32.78,26.0,8902.0,1413.0,3941.0,1387.0,4.7943,226900.0
-116.97,32.74,14.0,7410.0,1344.0,3597.0,1274.0,4.2192,176100.0
-116.97,32.65,4.0,16450.0,2833.0,7985.0,2683.0,5.6631,233400.0
-116.98,33.77,12.0,5829.0,1309.0,2711.0,1118.0,1.9707,107900.0
-116.98,32.88,12.0,7320.0,1279.0,4048.0,1249.0,4.3952,151700.0
-116.98,32.86,16.0,7718.0,1423.0,4383.0,1394.0,4.0693,146400.0
-116.98,32.8,28.0,5721.0,1029.0,2672.0,1054.0,3.963,164400.0
-116.99,34.88,23.0,6060.0,1165.0,2920.0,1072.0,3.1528,69000.0
-116.99,33.77,7.0,10352.0,2007.0,3559.0,1689.0,2.2925,113100.0
-116.99,33.76,12.0,7626.0,1704.0,2823.0,1554.0,2.1722,69400.0
-116.99,33.75,18.0,9601.0,2401.0,4002.0,2106.0,1.4366,77000.0
-116.99,33.73,13.0,16148.0,3474.0,6159.0,3232.0,1.9961,97800.0
-116.99,32.83,20.0,6696.0,1326.0,3687.0,1291.0,3.1979,154600.0
-116.99,32.81,18.0,10968.0,1521.0,4439.0,1501.0,6.2787,250000.0
-117.0,34.87,16.0,6862.0,1292.0,3562.0,1126.0,3.6091,87200.0
-117.0,32.87,18.0,11544.0,1979.0,6296.0,1923.0,4.4904,150400.0
-117.01,32.83,17.0,15401.0,3280.0,7302.0,3176.0,3.3067,121900.0
-117.01,32.66,11.0,9992.0,1368.0,4495.0,1316.0,6.9664,293900.0
-117.01,32.63,7.0,6483.0,976.0,3269.0,1005.0,5.7358,221600.0
-117.02,33.81,10.0,6317.0,1335.0,2625.0,1094.0,2.3,108900.0
-117.02,33.71,6.0,8278.0,1579.0,3062.0,1446.0,3.0043,134700.0
-117.03,32.75,24.0,7879.0,1655.0,3898.0,1534.0,3.0897,187300.0
-117.04,33.15,15.0,13814.0,2888.0,6583.0,2789.0,2.8247,150000.0
-117.04,32.99,6.0,9518.0,1418.0,4413.0,1275.0,6.6012,314900.0
